data	data_joint
avg_judgment_no	1.7760529482551144
kri_full	0.7610842185342047
kri_annotator2,mean_others	0.793508868904661
kri_annotator1,mean_others	0.7469919964012834
kri_annotator1,annotator2	0.7475518553812106
kri_annotator0,mean_others	0.7967021274330391
kri_annotator0,annotator2	0.817839791219833
kri_annotator0,annotator1	0.7375601582991516
spr_mean_weighted	0.7749598690628867
spr_mean	0.777637276278533
spr_annotator2,mean_others	0.7897578347712173
spr_annotator1,mean_others	0.746232566397613
spr_annotator1,annotator2	0.7492774647837684
spr_annotator0,mean_others	0.7930756617590189
spr_annotator0,annotator2	0.8355468606787783
spr_annotator0,annotator1	0.7480875033730521
overlap_annotator1,annotator2	2212
overlap_annotator0,annotator2	1850
overlap_annotator0,annotator1	2057
judgments_annotator0	3767
judgments_annotator1	4765
judgments_annotator2	4058
judgments_total	12590
