lemma	change_binary	change_binary_gain	change_binary_loss	change_graded	EARLIER	LATER	COMPARE
plattform	1	1	1	0.8745	2.6538	3.3068	1.9031
leilighet	1	0	1	0.7962	2.7157	3.9302	1.8221
horisont	1	1	1	0.6416	2.6667	2.8191	2.3900
mål	1	0	1	0.5972	1.8091	2.7642	1.9693
bølge	1	1	0	0.5962	2.3889	2.5208	2.3476
skjerm	1	0	1	0.5902	2.3375	2.4881	1.6648
pære	1	0	1	0.5347	2.1538	3.5581	2.3304
forhold	1	1	0	0.5002	2.8000	2.4545	2.4755
anfektelse	1	1	0	0.4596	3.7436	2.7596	3.0202
bit	1	1	0	0.4596	4.0000	2.3091	2.4091
linse	0	0	0	0.4139	2.8333	2.4186	2.1812
stoff	0	0	0	0.3562	2.1111	2.3980	2.2320
ris	0	0	0	0.3529	1.9595	1.9231	1.8438
rad	0	0	0	0.3436	3.4857	2.6481	2.9071
rev	1	1	1	0.3415	1.8913	2.3868	2.2243
tro	0	0	0	0.3162	3.1944	3.1829	2.7922
landet	0	0	0	0.3134	2.7653	3.6064	3.2807
lyng	0	0	0	0.2914	2.4681	2.1176	2.4100
katt	0	0	0	0.2701	2.5882	2.3200	2.4938
sete	0	0	0	0.2447	2.0714	2.3478	2.4261
fag	0	0	0	0.2168	3.3958	4.0000	3.6550
data	0	0	0	0.0000	3.9583	3.9271	3.8932
egg	0	0	0	0.0000	3.1625	3.0541	3.3494
etterforskning	0	0	0	0.0000	4.0000	4.0000	4.0000
formiddagen	0	0	0	0.0000	4.0000	4.0000	4.0000
frakk	0	0	0	0.0000	4.0000	4.0000	4.0000
gress	0	0	0	0.0000	3.7262	4.0000	3.9010
husrom	0	0	0	0.0000	3.9773	3.9896	3.9762
idiot	0	0	0	0.0000	3.2800	3.4857	3.3656
kart	0	0	0	0.0000	4.0000	3.8800	3.9398
kjemi	0	0	0	0.0000	3.9886	3.8864	3.9515
kloakk	0	0	0	0.0000	3.9444	3.6667	3.7315
leder	0	0	0	0.0000	3.9756	4.0000	4.0000
operasjon	0	0	0	0.0000	2.6667	2.6279	2.7959
ørret	0	0	0	0.0000	4.0000	3.9904	4.0000
tropp	0	0	0	0.0000	4.0000	3.7800	3.9018
varsel	0	0	0	0.0000	3.6522	3.8980	3.7718
