word	senses	time period pair
bit	small piece vs bit in binary system	1929:1968 – 1968:2020
bølge	radio, sound etc. vs water	1929:1968 – 1968:2020
data	fact/information vs computer	1929:1968 – 1968:2020
egg	animal egg, fish egg, tractor egg	1929:1968 – 1968:2020
fil	tool vs car lane vs data file	1929:1968 – 1968:2020
forhold	romantic vs non-romantic	1929:1968 – 1968:2020
gress	grass vs weed (marijuana)	1929:1968 – 1968:2020
idiot	medical term vs derogatory term	1929:1968 – 1968:2020
kart 	map vs unripe fruit/a person/  	1929:1968 – 1968:2020
kjemi	scientific field vs interpersonal chemistry	1929:1968 – 1968:2020
krem	diary product vs skin product	1929:1968 – 1968:2020
leilighet	opportunity vs place to live	1929:1968 – 1968:2020
linse	plant vs contact lens	1929:1968 – 1968:2020
mål	voice/language vs measure	1929:1968 – 1968:2020
pære	pear vs light bulb	1929:1968 – 1968:2020
plattform	actual platform, metaphorical platform	1929:1968 – 1968:2020
rev	animal vs joint 	1929:1968 – 1968:2020
ris	unit of measure vs rice	1929:1968 – 1968:2020
skjerm	screen vs computer screen	1929:1968 – 1968:2020
stoff	fabric vs illegal drugs	1929:1968 – 1968:2020
fane	tab	1980:1990 – 2010:2020
fjær	feather vs spring	1980:1990 – 2010:2020
kanal	waterway vs digital platform or social media	1980:1990 – 2010:2020
kode	secret code vs. computer code	1980:1990 – 2010:2020
kohort	1/10 of a legion or people being born the same year (statistics) vs smaller group who may have social interaction at a time when one must keep a distance to prevent infection	1980:1990 – 2010:2020
mappe	physical folder vs. directory	1980:1990 – 2010:2020
melding	report vs SMS, digital message	1980:1990 – 2010:2020
melk	diary vs plant	1980:1990 – 2010:2020
mus	small rodent vs computer device	1980:1990 – 2010:2020
nett	fiskenett vs internett	1980:1990 – 2010:2020
side	Internet page vs side in a dispute	1980:1990 – 2010:2020
sky	weather, dust, computing	1980:1990 – 2010:2020
spill	analogous game, computer game	1980:1990 – 2010:2020
strøm	water vs electricity	1980:1990 – 2010:2020
tavle	analogous vs digital (maybe used more in compounds?)	1980:1990 – 2010:2020
tjener	servant vs server	1980:1990 – 2010:2020
vert	physical vs digital	1980:1990 – 2010:2020
vindu	window vs computer window	1980:1990 – 2010:2020
virkelighet	not fantasy vs . not digital	1980:1990 – 2010:2020
virus	body vs data	1980:1990 – 2010:2020
